term_id,basis_id,value,matches
t01,1,0.0,True
t01,2,0.0,True
t01,3,0.0,True
t01,4,0.0,True
t02,1,0.0,True
t02,2,0.0,True
t02,3,0.0,True
t02,4,0.0,True
t03,1,0.0,True
t03,2,0.0,True
t03,3,0.0,True
t03,4,0.0,True
t04,1,0.0,True
t04,2,0.0,True
t04,3,0.0,True
t04,4,0.0,True
t05,1,0.0,True
t05,2,0.0,True
t05,3,0.0,True
t05,4,0.0,True
t06,1,0.0,True
t06,2,0.0,True
t06,3,0.0,True
t06,4,0.0,True
t07,1,0.0,True
t07,2,0.0,True
t07,3,0.0,True
t07,4,0.0,True
t08,1,0.0,True
t08,2,0.0,True
t08,3,0.0,True
t08,4,0.0,True
t09,1,0.0,True
t09,2,0.0,True
t09,3,0.0,True
t09,4,0.0,True
t10,1,0.0,True
t10,2,0.0,True
t10,3,0.0,True
t10,4,0.0,True
t11,1,0.0,True
t11,2,0.0,True
t11,3,0.0,True
t11,4,0.0,True
t12,1,0.0,True
t12,2,0.0,True
t12,3,0.0,True
t12,4,0.0,True
t13,1,0.0,True
t13,2,0.0,True
t13,3,0.0,True
t13,4,0.0,True
t14,1,0.0,True
t14,2,0.0,True
t14,3,0.0,True
t14,4,0.0,True
t15,1,0.0,True
t15,2,0.0,True
t15,3,0.0,True
t15,4,0.0,True
t16,1,0.0,True
t16,2,0.0,True
t16,3,0.0,True
t16,4,0.0,True
t17,1,0.0,True
t17,2,0.0,True
t17,3,0.0,True
t17,4,0.0,True
t18,1,0.0,True
t18,2,0.0,True
t18,3,0.0,True
t18,4,0.0,True
t19,1,0.0,True
t19,2,0.0,True
t19,3,0.0,True
t19,4,0.0,True
t20,1,0.0,True
t20,2,0.0,True
t20,3,0.0,True
t20,4,0.0,True
t21,1,0.0,True
t21,2,0.0,True
t21,3,0.0,True
t21,4,0.0,True
t22,1,0.0,True
t22,2,0.0,True
t22,3,0.0,True
t22,4,0.0,True
t23,1,0.0,True
t23,2,0.0,True
t23,3,0.0,True
t23,4,0.0,True
